Address,Zip Code,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Entitlements,Type2,AH Studio Unit #,AH 1BR Unit #,AH 2BR Unit #,AH 3BR Unit #,AH 4BR Unit #,AH 5BR Unit#,AH 6BR Unit#,LAT,LONG
10625 Tabor St,90034,5,2015,4,32,12.50%,Density Bonus,Market Rate Developments,"206, 404","201, 302",,,,,,,
4231 S McLaughlin Ave,90066,11,2015,2,13,15.38%,Density Bonus,Market Rate Developments,,303,202,,,,,,
1558 N Gordon St,90028,13,2015,4,47,8.51%,Density Bonus,Market Rate Developments,,,,,,,,,
11210 W Sardis Ave,90064,5,2015,3,25,12.00%,Density Bonus,Market Rate Developments,,,"102, 201",204,,,,,
15123 W Sherman Way,91405,6,2015,2,33,6.06%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
721 E Venice Blvd,90291,9,2015,1,4,25.00%,Other Ordinances Or Discretionary,Market Rate Developments,,C,,,,,,,
721 S Bonnie Brae St,90057,1,2015,5,28,17.86%,Other Ordinances Or Discretionary,Market Rate Developments,,"24, 25, 26, 27, 28",,,,,,,
5325 N Denny Ave,91601,2,2015,1,17,5.88%,Other Ordinances Or Discretionary,Market Rate Developments,206,,,,,,,,
10201 W Woodbine St,90034,5,2015,1,20,5.00%,Other Ordinances Or Discretionary,Market Rate Developments,,1,,,,,,,
11811 W Washington Pl,90066,11,2015,2,68,2.94%,Other Ordinances Or Discretionary,Market Rate Developments,122,217,,,,,,,
6836 N Agnes Ave,91605,2,2015,1,6,16.67%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
6929 N Ben Ave,91605,2,2015,1,6,16.67%,Other Ordinances Or Discretionary,Market Rate Developments,,,6,,,,,,
6055 W Center Dr,90045,11,2015,3,109,2.75%,Other Ordinances Or Discretionary,Market Rate Developments,304,217,125,,,,,,
5901 W Center Dr,90045,11,2015,21,375,5.60%,Other Ordinances Or Discretionary,Market Rate Developments,,"217, 414, 515, 174, 271, 356, 423, 472, 536, 549, 626, 559, 654","213, 304, 327, 361, 425, 457, 467, 666",,,,,,
12954 W Riverside Dr,91423,4,2015,1,18,5.56%,Other Ordinances Or Discretionary,Market Rate Developments,109,,,,,,,,
7048 N Fulton Ave,91605,2,2015,1,16,6.25%,Other Ordinances Or Discretionary,Market Rate Developments,,9,,,,,,,
5335 N Denny Ave,91601,2,2015,1,9,11.11%,Other Ordinances Or Discretionary,Market Rate Developments,9,,,,,,,,
13604 West Sherman Way,91403,2,2015,63,64,98.44%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
4121 N Eagle Rock Blvd,90065,1,2015,45,46,97.83%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
225 N Vermont Ave,90004,10,2015,99,100,99.00%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
3330 W Beverly Blvd,90004,13,2015,39,40,97.50%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
6570 S West Blvd,90043,8,2015,48,49,97.96%,Parking Reduction Only (Density Bonus Ordinance),Affordable Housing Trust Fund Projects,,,,,,,,,
10046 N Samoa Ave,91042,7,2015,32,48,66.67%,Parking Reduction Only (Density Bonus Ordinance),Affordable Housing Trust Fund Projects,,,,,,,,,
14827 W Victory Blvd,91411,6,2016,2,9,22.22%,Density Bonus,Market Rate Developments,,303,,103,,,,,
7004 N Lennox Ave,91405,6,2016,1,8,12.50%,Density Bonus,Market Rate Developments,,,107,,,,,,
2651 S Hobart Blvd,90018,8,2016,1,9,11.11%,Density Bonus,Market Rate Developments,,,,,6,,,,
6328 N Hazeltine Ave,91401,2,2016,1,7,14.29%,Density Bonus,Market Rate Developments,,,,,,,,,
639 N Fairfax Ave,90036,5,2016,4,48,8.33%,Density Bonus,Market Rate Developments,,"203, 207, 311, 314",309,,,,,,
1115 S Cardiff Ave,90035,5,2016,2,21,9.52%,Density Bonus,Market Rate Developments,,,,"104, 402",,,,,
860 E Florence Ave,90001,9,2016,5,30,16.67%,Density Bonus,Market Rate Developments,,"107, 110","103, 205, 208",,,,,,
1306 N Orange Dr,90028,13,2016,1,12,8.33%,Density Bonus,Market Rate Developments,,,,,,,,,
3743 S Midvale Ave,90066,5,2016,1,14,7.14%,Density Bonus,Market Rate Developments,,102,,,,,,,
5812 W Virginia Ave,90038,13,2016,1,12,8.33%,Density Bonus,Market Rate Developments,,5,,,,,,,
1150 N Cahuenga Blvd,90038,13,2016,3,29,10.34%,Density Bonus,Market Rate Developments,,,"109, 206, PH10",,,,,,
327 N Boylston St,90012,1,2016,14,121,11.57%,Density Bonus,Market Rate Developments,"105, 216","109, 115, 206, 213, 318, 323, 404, 412, 421","102, 119, 309",,,,,,
5030 W Rosewood Ave,90004,13,2016,2,22,9.09%,Density Bonus,Market Rate Developments,,,104,202,,,,,
3060 W Olympic Blvd,90006,10,2016,19,226,8.41%,Density Bonus,Market Rate Developments,,"102, 111, 119, 135, 207, 217, 228, 248, 326, 409, 416, 423, 433, 450, 504, 524","122, 203, 336",,,,,,
5455 S Inglewood Blvd,90230,11,2016,3,13,23.08%,Density Bonus,Market Rate Developments,,3,,,,,,,
7343 N Reseda Blvd,91335,3,2016,2,40,5.00%,Density Bonus,Market Rate Developments,,309,,103,,,,,
8590 W Pico Blvd,90035,5,2016,3,36,8.33%,Density Bonus,Market Rate Developments,,"301, 404, 505",,,,,,,
5327 N Hermitage Ave,91607,2,2016,4,42,9.52%,Density Bonus,Market Rate Developments,,,"107, 302, 404",207,,,,,
3838 S Dunn Dr,90232,5,2016,7,86,8.14%,Density Bonus,Market Rate Developments,"210, 215, 303, 412, 508, 611",,316,,,,,,
6200 N Kester Ave,91411,6,2016,2,22,9.09%,Density Bonus,Market Rate Developments,,,"103, 206",,,,,,
850 N Wilcox Ave,90038,13,2016,2,23,8.70%,Density Bonus,Market Rate Developments,,105,,203,,,,,
7120 N Bellaire Ave,91605,2,2016,3,29,10.34%,Density Bonus,Market Rate Developments,,,"103, 206",107,,,,,
105 S Doheny Dr,90048,5,2016,4,35,11.43%,Density Bonus,Market Rate Developments,,"101, 204, 305, 407",,,,,,,
740 S Ridgeley Dr,90036,5,2016,2,25,8.00%,Density Bonus,Market Rate Developments,,,"103, 204",,,,,,
535 S Kingsley Dr,90020,10,2016,6,72,8.33%,Density Bonus,Market Rate Developments,,"303, 409, 608","202, 313, 507",,,,,,
5639 E Huntington Dr North,90032,14,2016,1,13,7.69%,Density Bonus,Market Rate Developments,,,11,,,,,,
12035 W Wilshire Blvd,90025,11,2016,7,81,8.64%,Density Bonus,Market Rate Developments,403,"102, 111, 204, 208, 302",505,,,,,,
21514 W Saticoy St,91304,3,2016,2,29,6.90%,Density Bonus,Market Rate Developments,,,304,207,,,,,
11262 W Otsego St,91601,2,2016,5,49,10.20%,Density Bonus,Market Rate Developments,,"211, 303, 407","206, 309",,,,,,
18334 W Malden St,91325,12,2016,2,22,9.09%,Density Bonus,Market Rate Developments,,,,,,,,,
909 S Le Doux Rd,90035,5,2016,2,21,9.52%,Density Bonus,Market Rate Developments,,,,"103, 204",,,,,
415 S Le Doux Rd,90048,5,2016,2,19,10.53%,Density Bonus,Market Rate Developments,,,102,203,,,,,
5645 N Farmdale Ave,91601,2,2016,4,44,9.09%,Density Bonus,Market Rate Developments,,114,"202, 307",111,,,,,
18529 W Calvert St,91335,3,2016,1,24,4.17%,Density Bonus,Market Rate Developments,,,102,,,,,,
10601 W Washington Blvd,90232,5,2016,11,135,8.15%,Density Bonus,Market Rate Developments,"201, 236, 318, 429","222, 230, 305, 311, 403","234, 314",,,,,,
5036 S Slauson Ave,90230,11,2016,1,13,7.69%,Density Bonus,Market Rate Developments,,10,,,,,,,
1338 N Gordon St,90028,13,2016,4,44,9.09%,Density Bonus,Market Rate Developments,,"106, 308","201, 409",,,,,,
1237 S Holt Ave,90035,5,2016,3,34,8.82%,Density Bonus,Market Rate Developments,,,203,"101, 405",,,,,
1515 S Colby Ave,90025,11,2016,5,56,8.93%,Density Bonus,Market Rate Developments,,,,"109, 114, 202, 211, 308",,,,,
2859 W Francis Ave,90005,1,2016,7,81,8.64%,Density Bonus,Market Rate Developments,,"202, 313, 412","204, 206, 315, 407",,,,,,
3675 S Dunn Dr,90034,5,2016,1,18,5.56%,Density Bonus,Market Rate Developments,,,,204,,,,,
5837 W Sunset Blvd,90028,13,2016,4,79,5.06%,Density Bonus,Market Rate Developments,"410, 505",,"215, 306",,,,,,
11401 W Santa Monica Blvd,90025,11,2016,4,51,7.84%,Density Bonus,Market Rate Developments,,"110, 307","105, 211",,,,,,
4725 N Radford Ave,91607,2,2016,2,21,9.52%,Density Bonus,Market Rate Developments,,,"102, 203",,,,,,
1549 S Beverly Dr,90035,5,2016,1,14,7.14%,Density Bonus,Market Rate Developments,,,,201,,,,,
3752 S Veteran Ave,90034,5,2016,2,16,12.50%,Density Bonus,Market Rate Developments,,304,103,,,,,,
700 S Manhattan Pl,90005,5,2016,13,160,8.13%,Density Bonus,Market Rate Developments,,"218, 302, 511, 604, 708","207, 209, 323, 410, 421, 501, 612, 703",,,,,,
700 S Berendo St,90005,10,2016,2,27,7.41%,Density Bonus,Market Rate Developments,,,,,,,,,
850 S Crenshaw Blvd,90005,5,2016,4,44,9.09%,Density Bonus,Market Rate Developments,,,101,"204, 309, 407",,,,,
625 S Barrington Ave,90049,11,2016,4,46,8.70%,Density Bonus,Market Rate Developments,,,,"102, 204, 310, 408",,,,,
1446 N Tamarind Ave,90028,13,2016,5,44,11.36%,Density Bonus,Market Rate Developments,,"106, 207, 308","201, 409",,,,,,
4505 S Slauson Ave,90230,11,2016,2,23,8.70%,Density Bonus,Market Rate Developments,,"1, 14",,,,,,,
1312 W 8th St,90025,1,2016,3,36,8.33%,Density Bonus,Market Rate Developments,,"302, 408",204,,,,,,
3550 S Overland Ave,90034,5,2016,6,60,10.00%,Density Bonus,Market Rate Developments,"303, 410, 104",207,"202, 313",,,,,,
644 N Hobart,90004,13,2016,1,12,8.33%,Density Bonus,Market Rate Developments,,5,,,,,,,
1070 S Holt Ave,90035,5,2016,3,29,10.34%,Density Bonus,Market Rate Developments,,,,"101, 204, 402",,,,,
6636 N Irvine Ave,91606,2,2016,1,6,16.67%,Density Bonus,Market Rate Developments,,6,,,,,,,
3515 W Hyde Park Blvd,90043,8,2016,6,51,11.76%,Density Bonus,Market Rate Developments,,"203, 206, 304, 311, 412, 506",,,,,,,
705 S Gayley Ave,90024,5,2016,2,12,16.67%,Density Bonus,Market Rate Developments,,,,"2B, 4B",,,,,
10534 W. Santa Monica Blvd,90025,5,2016,3,37,8.11%,Density Bonus,Market Rate Developments,304,"102, 206",,,,,,,
11011 W. Otsego St,91601,2,2016,20,144,13.89%,Density Bonus,Market Rate Developments,123,"107, 117, 206, 226, 307, 310, 408, 510, 529","114, 212, 228, 315, 327, 428, 527","102, 220, 302",,,,,
11828 W. Runnymede,91605,2,2016,2,26,7.69%,Density Bonus,Market Rate Developments,,,308,202,,,,,
11110 W. Hartsook,91601,2,2016,7,61,11.48%,Density Bonus,Market Rate Developments,514,"102, 113, 406","203, 211, 310",,,,,,
643 N. Juanita Ave,90004,13,2016,1,11,9.09%,Density Bonus,Market Rate Developments,,,103,,,,,,
1947 S. Sawtelle Ave,90025,11,2016,8,72,11.11%,Density Bonus,Market Rate Developments,301,"104, 217, 219, 318, 320, 410",224,,,,,,
5501 N. Laurel Canyon Blvd,91607,2,2016,6,46,13.04%,Density Bonus,Market Rate Developments,,"103, 202, 313","109, 210, 304",,,,,,
7636 N Owensmouth Ave,91304,3,2016,2,40,5.00%,Density Bonus,Market Rate Developments,24,16,,,,,,,
10748 W Riverside Dr,91602,2,2016,1,13,7.69%,Parking Reduction Only (Density Bonus Ordinance),Market Rate Developments,,6,,,,,,,
1806 N. Gramercy Pl.,90028,13,2016,1,12,8.33%,Parking Reduction Only (Density Bonus Ordinance),Market Rate Developments,,,,102,,,,,
3815 S McLaughlin Ave,90066,11,2016,1,27,3.70%,Other Ordinances Or Discretionary,Market Rate Developments,208,,,,,,,,
901 S Irolo St,90006,10,2016,1,32,3.13%,Other Ordinances Or Discretionary,Market Rate Developments,,202,,,,,,,
6200 W Hollywood Blvd,90028,13,2016,50,497,10.06%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
6928 N Agnes Ave,91605,2,2016,1,6,16.67%,Other Ordinances Or Discretionary,Market Rate Developments,,6,,,,,,,
3314 W 17th Dr.,90019,10,2016,1,6,16.67%,Other Ordinances Or Discretionary,Market Rate Developments,,1,,,,,,,
5009 1/2 Axtel,90032,14,2016,1,3,33.33%,Other Ordinances Or Discretionary,Market Rate Developments,,,5009 1/2,,,,,,
1919 W Court St,90026,13,2016,46,46,100.00%,Other Ordinances Or Discretionary,Market Rate Developments,,,,,,,,,
2409 E 1st St,90033,14,2016,49,50,98.00%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
14920 W Astoria St,91342,7,2016,100,101,99.01%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
7860 N Simpson Ave,91605,6,2016,49,50,98.00%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
550 W 127th St,90044,15,2016,84,85,98.82%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
14055 W Archwood St,90034,2,2016,2,36,5.56%,Density Bonus,Affordable Housing Trust Fund Projects,,"211, 307",,,,,,,
5525 N Case Ave,91601,2,2016,12,90,13.33%,Density Bonus,Affordable Housing Trust Fund Projects,"102, 111, 217, 302, 418","104, 212, 307, 312, 410, 413",209,,,,,,
4814 W Oakwood Ave,90004,13,2016,1,11,9.09%,Density Bonus,Affordable Housing Trust Fund Projects,,7,,,,,,,
2645 S Crenshaw Blvd,90006,10,2016,8,29,27.59%,Density Bonus,Affordable Housing Trust Fund Projects,,"204, 207, 303, 310, 411, 513","406, 501",,,,,,
3411 S. Crenshaw Blvd,90016,10,2016,8,49,16.33%,Density Bonus,Affordable Housing Trust Fund Projects,,"210, 307, 402, 504",203,"308, 411, 508",,,,,
1101 Martin Luther King Jr Blvd,90037,8,2016,25,26,96.15%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
1015 W. E Street,90744,15,2016,87,88,98.86%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
1116 W. D Street,90744,15,2016,87,88,98.86%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
1077 W. 38th St,90037,8,2016,69,140,49.29%,Density Bonus,Affordable Housing Trust Fund Projects,,,,,,,,,
2451 Colorado Blvd,90041,14,2016,16,41,39.02%,Density Bonus,Affordable Housing Trust Fund Projects,,"201, 204, 206, 209, 302, 304, 305, 309, 311, 404 ,406, 409, 411, 505, 509, 511","207, 208, 307, 308, 403, 407, 507, 508",210,,,,,
111 S Lucas Ave,90026,1,2016,123,125,98.40%,Parking Reduction Only (Density Bonus Ordinance),Affordable Housing Trust Fund Projects,,,,,,,,,
535 W El Segundo Blvd,90248,15,2016,74,75,98.67%,Parking Reduction Only (Density Bonus Ordinance),Affordable Housing Trust Fund Projects,,,,,,,,,
326 S. Reno St.,90057,1,2017,6,65,9.23%,Density Bonus,Market Rate Developments,"102, 213, 402",208,"111, 304",,,,,,
1836 N. Sichel St.,90031,14,2017,3,27,11.11%,Density Bonus,Market Rate Developments,,,,"209, 308, 402",,,,,
3355 S. Overland Ave.,90064,5,2017,4,37,10.81%,Density Bonus,Market Rate Developments,,,,,,,,,
4210 S. Del Rey Ave.,90292,11,2017,6,68,8.82%,Density Bonus,Market Rate Developments,,"312, 408, 504","203, 302, 415",,,,,,
5252 N. Willow Crest Ave.,91601,2,2017,3,25,12.00%,Density Bonus,Market Rate Developments,,103,206,305,,,,,
8837 N. Burnet Ave.,91343,6,2017,1,12,8.33%,Density Bonus,Market Rate Developments,,,,108,,,,,
518 N. Gramercy Pl.,90004,13,2017,4,51,7.84%,Density Bonus,Market Rate Developments,,217,"302, 311",204,,,,,
933 E. Vernon Ave.,90011,9,2017,21,21,100.00%,Density Bonus,Market Rate Developments,"1, 2, 7, 8, 9, 14, 15, 16, 21","3, 4, 5, 6, 10, 11, 12, 13, 17, 18, 19, 20",,,,,,,
1846 N. Cherokee Ave.,90028,13,2017,3,20,15.00%,Density Bonus,Market Rate Developments,,,,,,,,,
12905 W Landale St.,91604,4,2017,2,10,20.00%,Density Bonus,Market Rate Developments,,D,B,,,,,,
22769 W. Del Valle St.,91364,3,2017,2,22,9.09%,Density Bonus,Market Rate Developments,,202,305,,,,,,
5066 Romaine St.,90029,13,2017,1,15,6.67%,Density Bonus,Market Rate Developments,,5,,,,,,,
150 N. Berendo St.,90004,10,2017,2,21,9.52%,Density Bonus,Market Rate Developments,,104,203,,,,,,
527 S. Wilton Pl.,90020,13,2017,1,14,7.14%,Density Bonus,Market Rate Developments,,2,,,,,,,
644 N. Normandie Ave.,90004,13,2017,1,12,8.33%,Density Bonus,Market Rate Developments,,4,,,,,,,
1440 N. Gordon St.,90028,13,2017,5,41,12.20%,Density Bonus,Market Rate Developments,,"102, 208, 305","201, 401",,,,,,
2441 S. Sepulveda Blvd.,90064,5,2017,66,595,11.09%,Density Bonus,Market Rate Developments,,,,,,,,,
4847 W. Oakwood Ave.,90004,13,2017,4,49,8.16%,Density Bonus,Market Rate Developments,,"209, 408","213, 302",,,,,,
957 N. Figueroa Ter.,90012,1,2017,1,28,3.57%,Density Bonus,Market Rate Developments,,,101,,,,,,
338 N. Mariposa Ave.,90064,13,2017,1,14,7.14%,Density Bonus,Market Rate Developments,,,201,,,,,,
662 S. Kelton Ave.,90024,5,2017,1,12,8.33%,Density Bonus,Market Rate Developments,,,,,,,,,
801 S. Berendo St.,90005,10,2017,9,98,9.18%,Density Bonus,Market Rate Developments,,,,,,,,,
1011 S. Serrano Ave.,90006,10,2017,9,104,8.65%,Density Bonus,Market Rate Developments,115,"111, 206, 314, 316, 409, 420, 516",208,,,,,,
1265 S. Sterns Dr.,90035,5,2017,5,48,10.42%,Density Bonus,Market Rate Developments,,,,,,,,,
1330 S. Federal Ave.,90025,11,2017,3,36,8.33%,Density Bonus,Market Rate Developments,,,,,,,,,
4247 N. Eagle Rock Bvld.,90065,1,2017,5,59,8.47%,Density Bonus,Market Rate Developments,,,,,,,,,
4920 W. Melrose Ave.,90029,13,2017,4,45,8.89%,Density Bonus,Market Rate Developments,"209, 311","210, 308",,,,,,,
5130 N. Klump Ave.,91601,2,2017,25,297,8.42%,Density Bonus,Market Rate Developments,,"L307, L413, L616, L626, L314, L320, K403, K412, L405, K507, K508, K514, L503, L510, K605, K708","L636, K316, L331, K415, L411, 524",,,,,,
5630 N. Fair Ave.,91601,2,2017,2,15,13.33%,Density Bonus,Market Rate Developments,,,,,,,,,
5842 N. Carlton Way,90028,13,2017,2,18,11.11%,Density Bonus,Market Rate Developments,200,,,,,106,,,
12616 W. Vanowen St.,91606,2,2017,1,6,16.67%,Density Bonus,Market Rate Developments,,,,,,,,,
12622 W. Vanowen St.,91606,2,2017,1,6,16.67%,Density Bonus,Market Rate Developments,,,203,,,,,,
218 S. Occidental Blvd.,90057,13,2017,11,47,23.40%,Density Bonus,Market Rate Developments,,"307, 504, 301, 406, 506, 604","203, 208, 403, 408, 601",,,,,,
5012 S. Slauson Ave.,90230,11,2017,2,28,7.14%,Density Bonus,Market Rate Developments,,5,11,,,,,,
269 S. Mariposa Ave.,90004,10,2017,17,121,14.05%,Density Bonus,Market Rate Developments,,"207, 216, 305, 308, 311, 402, 406, 507, 519, 616, 618","201, 209, 303, 415, 504",,,,,,
1127 S. Spaulding Ave.,90019,10,2017,1,13,7.69%,Density Bonus,Market Rate Developments,,,,104,,,,,
1650 Sawtelle Blvd.,90025,11,2017,4,48,8.33%,Density Bonus,Market Rate Developments,,,,,,,,,
4220 W. Mont Clair St.,90018,10,2017,4,46,8.70%,Density Bonus,Market Rate Developments,,,,,,,,,
4522 W. Lexington Ave.,90029,13,2017,1,9,11.11%,Density Bonus,Market Rate Developments,,,4,,,,,,
5773 W. Olympic Blvd.,90036,5,2017,1,11,9.09%,Density Bonus,Market Rate Developments,,,,,,,,,
14828 Rayen St.,91402,6,2017,1,14,7.14%,Density Bonus,Market Rate Developments,,,,206,,,,,
178 N. Alexandria Ave.,90004,10,2017,1,14,7.14%,Density Bonus,Market Rate Developments,,7,,,,,,,
849 N. Bunker Hill Ave.,90012,1,2017,2,37,5.41%,Density Bonus,Market Rate Developments,,406,201,,,,,,
1233 N. Highland Ave.,90038,13,2017,8,72,11.11%,Density Bonus,Market Rate Developments,,,,,,,,,
1502 W. Rockwood St.,90026,13,2017,4,40,10.00%,Density Bonus,Market Rate Developments,,,,,,,,,
1515 S. Holt Ave.,90035,5,2017,2,21,9.52%,Density Bonus,Market Rate Developments,,,,,,,,,
1755 N. Canyon Dr.,90028,13,2017,2,14,14.29%,Density Bonus,Market Rate Developments,,202,301,,,,,,
2600 W. San Marino St.,90006,1,2017,4,31,12.90%,Density Bonus,Market Rate Developments,,,,,,,,,
3638 S. Motor Ave.,90034,5,2017,4,49,8.16%,Density Bonus,Market Rate Developments,,"209, 212, 303, 410",,,,,,,
3643 S. Empire Dr.,90034,5,2017,1,8,12.50%,Density Bonus,Market Rate Developments,,202,,,,,,,
5536 N. Fulcher Ave.,91601,2,2017,3,36,8.33%,Density Bonus,Market Rate Developments,,"202, 405",308,,,,,,
5548 N. Elmer Ave.,91601,2,2017,2,15,13.33%,Density Bonus,Market Rate Developments,,"6, 11",,,,,,,
6630 W. Sunset Blvd.,90028,13,2017,4,40,10.00%,Density Bonus,Market Rate Developments,"306, 407","103, 202",,,,,,,
7077 W. Willoughby Ave.,90038,13,2017,14,169,8.28%,Density Bonus,Market Rate Developments,"425, 522, 534, 544, 705, 730, 643","204, 415, 437, 614, 636, 746",445,,,,,,
7639 N. Van Nuys Blvd.,91405,6,2017,4,36,11.11%,Density Bonus,Market Rate Developments,,305,"208, 403, 507",,,,,,
11408 W. Sarah St.,91601,2,2017,1,10,10.00%,Density Bonus,Market Rate Developments,,204,,,,,,,
18535 W. Burbank Blvd.,91356,3,2017,1,13,7.69%,Density Bonus,Market Rate Developments,,201,,,,,,,
1745 N. Western Ave.,90027,13,2017,3,24,12.50%,Density Bonus,Market Rate Developments,,B308,A304,C203,,,,,
11050 W. Hartsook St.,91601,2,2017,3,48,6.25%,Density Bonus,Market Rate Developments,,,,,,,,,
5628 W. Harold Way,90028,13,2017,2,13,15.38%,Density Bonus,Market Rate Developments,9,,8,,,,,,
11036 W. Moorpark St.,91602,2,2017,8,96,8.33%,Density Bonus,Market Rate Developments,,,"201, 216, 222, 307, 313, 324, 403, 415",,,,,,
714 N. Sweetzer Ave.,90069,5,2017,2,26,7.69%,Density Bonus,Market Rate Developments,,3,11,,,,,,
820 W. Colden Ave.,90044,8,2017,2,9,22.22%,Density Bonus,Market Rate Developments,,,,,,,,,
7000 W. Melrose Ave.,90038,5,2017,4,40,10.00%,Density Bonus,Market Rate Developments,,"207, 308, 318",220,,,,,,
11433 W. Albers St.,91601,2,2017,6,59,10.17%,Density Bonus,Market Rate Developments,,"105, 110, 214, 309, 415",114,,,,,,
10718 W. Acama St.,91602,2,2017,1,7,14.29%,Density Bonus,Market Rate Developments,,,,,,,,,
13448 W. Beach Ave.,90292,11,2017,23,228,10.09%,Density Bonus,Market Rate Developments,"B310, B408, E309, E504","A304, A305, A402, A403, A506, B503, C411, C414, C509, D305, D407, D509, E307, F301","C302, C310, C510, E202, F405",,,,,,
1446 N. Detroit St.,90046,13,2017,7,60,11.67%,Density Bonus,Market Rate Developments,,,,,,,,,
1718 N. Las Palmas Ave.,90028,13,2017,24,224,10.71%,Density Bonus,Market Rate Developments,"134, 238, 306, 322, 410, 434, 519, 532, 608, 629","108, 128, 216, 221, 315, 341, 403, 439, 501, 510, 604, 613",115,,,,,,
1481 S. Shenandoah St.,90035,5,2017,1,11,9.09%,Density Bonus,Market Rate Developments,,104,,,,,,,
1250 S. Westmoreland Ave.,90006,1,2017,92,93,98.92%,Density Bonus,Market Rate Developments,,,,,,,,,
525 N. Wilton Place.,90004,13,2017,8,88,9.09%,Density Bonus,Market Rate Developments,,"214, 308","210, 215, 303, 318, 416, 420",,,,,,
323 N. Avenue 50,90042,1,2017,1,8,12.50%,Density Bonus,Market Rate Developments,,8,,,,,,,
2140 S. Butler Ave.,90025,11,2017,7,77,9.09%,Density Bonus,Market Rate Developments,210,"304, 305, 514, 605","212, 409",,,,,,
6226 N. Colfax Ave.,91606,2,2017,4,41,9.76%,Density Bonus,Market Rate Developments,,,,"2-4, 2-7, 3-5, 3-10",,,,,
5342 W. Fountain Ave.,90029,13,2017,1,15,6.67%,Density Bonus,Market Rate Developments,,204,,,,,,,
1244 W. 39th St.,90037,8,2017,4,13,30.77%,Density Bonus,Market Rate Developments,,"1A, 4A","2C, 3B",,,,,,
1301 S. Westgate Ave.,90025,11,2017,2,27,7.41%,Density Bonus,Market Rate Developments,,,,"105, 206",,,,,
1315 W. Florence Ave.,90044,8,2017,20,20,100.00%,Density Bonus,Market Rate Developments,,,,,,,,,
835 Brooks Ave.,90291,11,2017,1,2,50.00%,Density Bonus,Market Rate Developments,,833,,,,,,,
4909 W. Rosewood Ave.,90004,13,2017,2,26,7.69%,Density Bonus,Market Rate Developments,,,206,102,,,,,
6500 N. Sepulveda Blvd.,91411,11,2017,7,160,4.38%,Density Bonus,Market Rate Developments,,"214, 310, 525, 630","207, 327, 432",,,,,,
1919 S. Western Ave.,90018,10,2017,2,22,9.09%,Density Bonus,Market Rate Developments,,303,208,,,,,,
6677 W. Santa Monica Blvd.,90038,13,2017,31,695,4.46%,Density Bonus,Market Rate Developments,,,,,,,,,
845 S. St. Andrews Place,90005,5,2017,1,14,7.14%,Density Bonus,Market Rate Developments,,"203, 304, 402",,,,,,,
1051 S. Corning St.,90035,5,2017,2,19,10.53%,Density Bonus,Market Rate Developments,,,,,,,,,
1545 S. Fairfax Ave.,90019,10,2017,1,10,10.00%,Density Bonus,Market Rate Developments,,,,203,,,,,
3160 W. Riverside Dr.,90027,4,2017,4,65,6.15%,Density Bonus,Market Rate Developments,"205, 217","207, 310",,,,,,,
3672 S. Jasmine Ave.,90034,5,2017,2,17,11.76%,Density Bonus,Market Rate Developments,,,,,,,,,
3815 W. Ave 43,90041,1,2017,2,28,7.14%,Density Bonus,Market Rate Developments,,3,22,,,,,,
4807 W. Elmwood Ave.,90004,13,2017,1,13,7.69%,Density Bonus,Market Rate Developments,,301,,,,,,,
5240 W. Virginia Ave.,90029,13,2017,2,14,14.29%,Density Bonus,Market Rate Developments,,,221-V,125-V,,,,,
5261 N. Harmony Ave.,91601,2,2017,2,12,16.67%,Density Bonus,Market Rate Developments,,"102, 201",,,,,,,
7043 N. Jordan Ave.,91303,3,2017,3,33,9.09%,Density Bonus,Market Rate Developments,,408,306,202,,,,,
15322 W. Hart St.,91406,6,2017,2,11,18.18%,Density Bonus,Market Rate Developments,,,303,201,,,,,
11612 W. Culver Blvd.,90066,11,2017,4,40,10.00%,Density Bonus,Market Rate Developments,311,"202, 208, 405",,,,,,,
3022 ½ N. Coolidge Ave,90039,13,2017,2,30,6.67%,Density Bonus,Market Rate Developments,,,,,,,,,
1503 W. 206th St.,90501,15,2017,1,10,10.00%,Density Bonus,Market Rate Developments,10,,,,,,,,
1226 S. Bedford St.,90035,5,2017,2,20,10.00%,Density Bonus,Market Rate Developments,,,,"203, 304",,,,,
1233 S. Dunsmuir Ave.,90019,10,2017,1,14,7.14%,Density Bonus,Market Rate Developments,,302,,,,,,,
718 N. Hudson Ave.,90038,13,2017,2,23,8.70%,Density Bonus,Market Rate Developments,,,,,,,,,
